DATE,COST
2011-01-01,null
2011-01-02,null
2011-01-03,4252
2011-01-04,4168
2011-01-05,4376
2011-01-06,4609
2011-01-07,4609
2011-01-08,null
2011-01-09,null
2011-01-10,4399
2011-01-11,4423
2011-01-12,4495
2011-01-13,4521
2011-01-14,4521
2011-01-15,null
2011-01-16,null
2011-01-17,4832
2011-01-18,4888
2011-01-19,5083
2011-01-20,4551
2011-01-21,4451
2011-01-22,null
2011-01-23,null
2011-01-24,5104
2011-01-25,5251
2011-01-26,5075
2011-01-27,5234
2011-01-28,5234
2011-01-29,null
2011-01-30,null
2011-01-31,5221
2011-02-01,5134
2011-02-02,null
2011-02-03,null
2011-02-04,null
2011-02-05,null
2011-02-06,null
2011-02-07,4859
2011-02-08,4843
2011-02-09,4815
2011-02-10,4744
2011-02-11,4727
2011-02-12,null
2011-02-13,null
2011-02-14,4626
2011-02-15,4651
2011-02-16,4893
2011-02-17,4893
2011-02-18,4834
2011-02-19,null
2011-02-20,null
2011-02-21,4841
2011-02-22,4847
2011-02-23,4699
2011-02-24,4791
2011-02-25,4770
2011-02-26,null
2011-02-27,null
2011-02-28,4710
2011-03-01,null
2011-03-02,4763
2011-03-03,4590
2011-03-04,4688
2011-03-05,null
2011-03-06,null
2011-03-07,4750
2011-03-08,4798
2011-03-09,4544
2011-03-10,4596
2011-03-11,4629
2011-03-12,null
2011-03-13,null
2011-03-14,4693
2011-03-15,4761
2011-03-16,4743
2011-03-17,4846
2011-03-18,4824
2011-03-19,null
2011-03-20,null
2011-03-21,4824
2011-03-22,4824
2011-03-23,4824
2011-03-24,4776
2011-03-25,4662
2011-03-26,null
2011-03-27,null
2011-03-28,4550
2011-03-29,4530
2011-03-30,4486
2011-03-31,4341
2011-04-01,4341
2011-04-02,null
2011-04-03,null
2011-04-04,4265
2011-04-05,4073
2011-04-06,4057
2011-04-07,3783
2011-04-08,3783
2011-04-09,null
2011-04-10,null
2011-04-11,3905
2011-04-12,3905
2011-04-13,3961
2011-04-14,3808
2011-04-15,3708
2011-04-16,null
2011-04-17,null
2011-04-18,3654
2011-04-19,3329
2011-04-20,3126
2011-04-21,2406
2011-04-22,2360
2011-04-23,null
2011-04-24,null
2011-04-25,2304
2011-04-26,2225
