date,avgTemp,maxTemp,minTemp,rainfall,cost
20110102,-5,0.7,-10.4,0.4,3601
20110103,-3.5,3.6,-9.5,0,3601
20110104,-3.3,1.8,-8.5,1.8,4252
20110105,-2,2.2,-6.8,0,4168
20110106,-0.7,2.5,-4,0,4376
20110107,-4.1,-0.5,-7.3,0.1,4609
20110108,-5.5,0.6,-10.8,0,4609
20110109,-2.6,3.4,-10,0,4609
20110110,-2.9,1.4,-8.2,0,4609
20110111,-6.6,-0.8,-11.8,0,4399
20110112,-3.6,1.5,-9.5,0.4,4423
20110113,-5.1,-1.1,-9.2,0,4495
20110114,-5.6,1.4,-11.6,0,4521
20110115,-2.7,3.5,-9.5,0.1,4521
20110116,-7.7,-1.8,-13,0.2,4521
20110117,-10.1,-5.2,-14.8,0.1,4521
20110118,-7.1,-0.6,-13.2,0,4832
20110119,-5,0.5,-10.6,0,4888
20110120,-4.2,0.8,-8.6,0,5083
20110121,-5.4,-0.9,-9.3,0,4551
20110122,-5,0.8,-9.6,0,4451
20110123,-3.2,3,-8.9,0,4451
20110124,-2.1,2.7,-6.6,1.4,4451
20110125,-4.7,-1.4,-8.2,0.3,5104
20110126,-6,-0.3,-10.7,0,5251
20110127,-5.9,-0.4,-10.5,0,5075
20110128,-5.8,-0.5,-10.5,0,5234
20110129,-4.5,0.4,-8.2,0,5234
20110130,-6.5,-2,-10.5,0.2,5234
20110131,-7.3,-2.8,-11.8,0.2,5234
20110201,-4.8,1.3,-11.9,0,5221
20110202,-0.2,7.2,-6.7,0,5134
20110203,1.5,8.9,-3.9,0,5134
20110204,1,8.7,-5.2,0,5134
20110205,1.9,8.8,-3.7,0,5134
20110206,1.4,8.5,-3.4,0,5134
20110207,2.5,8.6,-3.3,0,5134
20110208,2,7.6,-2.9,0,4859
20110209,2.6,6.3,-0.7,1.3,4843
20110210,0.8,5.5,-2.9,0,4815
20110211,-1,3.1,-4.6,0.3,4744
20110212,-0.8,4,-4.8,4.5,4727
20110213,-3.5,0.7,-7.2,1.9,4727
20110214,-3.7,2.5,-9.8,0,4727
20110215,-2.4,0.9,-5.5,3.4,4626
20110216,-1.3,5.6,-7.3,0,4651
20110217,0.8,7.7,-6.3,1.5,4893
20110218,1.6,4.4,-0.8,3.8,4893
20110219,1.3,8.1,-3.9,0,4834
20110220,2.3,9.7,-3.8,0,4834
20110221,4.1,11.9,-2.8,0,4834
20110222,4.2,11.6,-1.4,0,4841
20110223,4,12.4,-2.6,0,4847
20110224,4.8,13.7,-2,0,4699
20110225,7.4,16,-0.4,0,4791
20110226,4.8,10.7,-0.8,0,4770
20110227,5.5,12.8,-2.7,0.1,4770
20110228,6.1,8.6,4.1,43,4770
20110301,4.9,7.2,3.4,3.8,4710
20110302,2.5,5.6,-0.4,3.2,4710
20110303,0,4.3,-3.3,0,4763
20110304,-0.8,4.1,-5.4,0,4590
20110305,0.7,6.8,-4.6,0,4688
20110306,2.5,9,-3.8,0,4688
20110307,4.9,10.8,-0.6,0,4688
20110308,3.5,7.6,-0.1,0,4750
20110309,3,9,-2.9,0,4798
20110310,2,6.7,-2,0,4544
20110311,2.7,8.6,-3.5,0,4596
20110312,5,12,-1.5,0,4629
20110313,7.6,15.4,0.4,0,4629
20110314,9.8,18.1,2.4,0,4629
20110315,9.1,16.1,3.9,0,4693
20110316,4.1,8.9,-0.6,0,4761
20110317,1.3,5.9,-2.4,0,4743
20110318,2.1,8.4,-3.5,0,4846
20110319,5.8,13.8,-3.6,0,4824
20110320,10.5,16.4,4.3,0,4824
20110321,7.1,11.3,4.5,15.2,4824
20110322,7.9,13.1,4.1,0.6,4824
20110323,3.6,7.7,0.1,0.4,4824
20110324,2.8,8.7,-3,0,4824
20110325,4.8,10.6,-0.4,2.8,4776
20110326,3.1,7.1,-0.5,0.3,4662
20110327,3.2,9.3,-2.9,0,4662
20110328,5.5,11.9,-2.5,0,4662
20110329,6.2,11.9,1,0.4,4550
20110330,5.1,11.2,-1.2,0,4530
20110331,7.9,15.7,0.4,0,4486
20110401,9.7,19,1.6,0,4341
20110402,10.9,19.8,1.5,0,4341
20110403,8.9,14,4.7,0.1,4341
20110404,7.2,12.1,2.8,2.6,4341
20110405,7.8,15.3,1.1,0,4265
20110406,9.1,18.2,0.5,0,4073
20110407,11,18.9,1.3,0.7,4057
20110408,11.7,14.4,9.1,17.1,3783
20110409,11.7,17.4,7.1,3.3,3783
20110410,10.5,18.1,3.4,0,3783
20110411,12.3,19.9,4.5,0.5,3783
20110412,10.1,15.4,5.1,2.7,3905
20110413,10.2,18.3,1.4,0,3905
20110414,12.1,20.2,3.6,0,3961
20110415,13.2,21.2,4.3,0,3808
20110416,16.2,23.5,9.8,0.1,3708
20110417,11.5,18.8,6.1,0.1,3708
20110418,11.3,18.7,4,0,3708
20110419,7.9,11.8,5.1,2.7,3654
20110420,9.2,15.1,4.2,0.7,3329
20110421,10.8,18.5,2.8,0,3126
20110422,13.4,20.3,5.4,0,2406
20110423,10.7,13.9,8.7,26.8,2360
20110424,10.7,15.8,6.3,0,2360
20110425,10.4,16,5,0.4,2360
20110426,12.9,18.8,6.3,0.3,2304
20110427,12.4,15.3,9.8,11.9,2225
20110428,12.1,16.8,8.2,2.4,2243
20110429,10.2,15.4,5.9,0.7,2117
20110430,13.3,19.9,4.1,0.6,1978
20110501,17,21.3,13.3,37.3,1978
20110502,15.1,18.7,11.2,2.3,1978
20110503,15.3,21.9,9.5,0,1889
20110504,16,22.5,10.8,0,1769
20110505,14.4,21.3,7.4,0,1735
20110506,15.1,21.8,8.5,0,1735
20110507,14.9,19.3,9.5,1.1,1650
