date,avgTemp,minTemp,maxTemp,rainfall,cost
20110101,-5,-10.4,0.7,0.4,null
20110102,-3.5,-9.5,3.6,0,null
20110103,-3.3,-8.5,1.8,1.8,4252
20110104,-2,-6.8,2.2,0,4168
20110105,-0.7,-4,2.5,0,4376
20110106,-4.1,-7.3,-0.5,0.1,4609
20110107,-5.5,-10.8,0.6,0,4609
20110108,-2.6,-10,3.4,0,null
20110109,-2.9,-8.2,1.4,0,null
20110110,-6.6,-11.8,-0.8,0,4399
20110111,-3.6,-9.5,1.5,0.4,4423
20110112,-5.1,-9.2,-1.1,0,4495
20110113,-5.6,-11.6,1.4,0,4521
20110114,-2.7,-9.5,3.5,0.1,4521
20110115,-7.7,-13,-1.8,0.2,null
20110116,-10.1,-14.8,-5.2,0.1,null
20110117,-7.1,-13.2,-0.6,0,4832
20110118,-5,-10.6,0.5,0,4888
20110119,-4.2,-8.6,0.8,0,5083
20110120,-5.4,-9.3,-0.9,0,4551
20110121,-5,-9.6,0.8,0,4451
20110122,-3.2,-8.9,3,0,null
20110123,-2.1,-6.6,2.7,1.4,null
20110124,-4.7,-8.2,-1.4,0.3,5104
20110125,-6,-10.7,-0.3,0,5251
20110126,-5.9,-10.5,-0.4,0,5075
20110127,-5.8,-10.5,-0.5,0,5234
20110128,-4.5,-8.2,0.4,0,5234
20110129,-6.5,-10.5,-2,0.2,null
20110130,-7.3,-11.8,-2.8,0.2,null
20110131,-4.8,-11.9,1.3,0,5221
20110201,-0.2,-6.7,7.2,0,5134
20110202,1.5,-3.9,8.9,0,null
20110203,1,-5.2,8.7,0,null
20110204,1.9,-3.7,8.8,0,null
20110205,1.4,-3.4,8.5,0,null
20110206,2.5,-3.3,8.6,0,null
20110207,2,-2.9,7.6,0,4859
20110208,2.6,-0.7,6.3,1.3,4843
20110209,0.8,-2.9,5.5,0,4815
20110210,-1,-4.6,3.1,0.3,4744
20110211,-0.8,-4.8,4,4.5,4727
20110212,-3.5,-7.2,0.7,1.9,null
20110213,-3.7,-9.8,2.5,0,null
20110214,-2.4,-5.5,0.9,3.4,4626
20110215,-1.3,-7.3,5.6,0,4651
20110216,0.8,-6.3,7.7,1.5,4893
20110217,1.6,-0.8,4.4,3.8,4893
20110218,1.3,-3.9,8.1,0,4834
20110219,2.3,-3.8,9.7,0,null
20110220,4.1,-2.8,11.9,0,null
20110221,4.2,-1.4,11.6,0,4841
20110222,4,-2.6,12.4,0,4847
20110223,4.8,-2,13.7,0,4699
20110224,7.4,-0.4,16,0,4791
20110225,4.8,-0.8,10.7,0,4770
20110226,5.5,-2.7,12.8,0.1,null
20110227,6.1,4.1,8.6,43,null
20110228,4.9,3.4,7.2,3.8,4710
20110301,2.5,-0.4,5.6,3.2,null
20110302,0,-3.3,4.3,0,4763
20110303,-0.8,-5.4,4.1,0,4590
20110304,0.7,-4.6,6.8,0,4688
20110305,2.5,-3.8,9,0,null
20110306,4.9,-0.6,10.8,0,null
20110307,3.5,-0.1,7.6,0,4750
20110308,3,-2.9,9,0,4798
20110309,2,-2,6.7,0,4544
20110310,2.7,-3.5,8.6,0,4596
20110311,5,-1.5,12,0,4629
20110312,7.6,0.4,15.4,0,null
20110313,9.8,2.4,18.1,0,null
20110314,9.1,3.9,16.1,0,4693
20110315,4.1,-0.6,8.9,0,4761
20110316,1.3,-2.4,5.9,0,4743
20110317,2.1,-3.5,8.4,0,4846
20110318,5.8,-3.6,13.8,0,4824
20110319,10.5,4.3,16.4,0,null
20110320,7.1,4.5,11.3,15.2,null
20110321,7.9,4.1,13.1,0.6,4824
20110322,3.6,0.1,7.7,0.4,4824
20110323,2.8,-3,8.7,0,4824
20110324,4.8,-0.4,10.6,2.8,4776
20110325,3.1,-0.5,7.1,0.3,4662
20110326,3.2,-2.9,9.3,0,null
20110327,5.5,-2.5,11.9,0,null
20110328,6.2,1,11.9,0.4,4550
20110329,5.1,-1.2,11.2,0,4530
20110330,7.9,0.4,15.7,0,4486
20110331,9.7,1.6,19,0,4341
20110401,10.9,1.5,19.8,0,4341
20110402,8.9,4.7,14,0.1,null
20110403,7.2,2.8,12.1,2.6,null
20110404,7.8,1.1,15.3,0,4265
20110405,9.1,0.5,18.2,0,4073
20110406,11,1.3,18.9,0.7,4057
20110407,11.7,9.1,14.4,17.1,3783
20110408,11.7,7.1,17.4,3.3,3783
20110409,10.5,3.4,18.1,0,null
20110410,12.3,4.5,19.9,0.5,null
20110411,10.1,5.1,15.4,2.7,3905
20110412,10.2,1.4,18.3,0,3905
20110413,12.1,3.6,20.2,0,3961
20110414,13.2,4.3,21.2,0,3808
20110415,16.2,9.8,23.5,0.1,3708
20110416,11.5,6.1,18.8,0.1,null
20110417,11.3,4,18.7,0,null
20110418,7.9,5.1,11.8,2.7,3654
20110419,9.2,4.2,15.1,0.7,3329
20110420,10.8,2.8,18.5,0,3126
20110421,13.4,5.4,20.3,0,2406
20110422,10.7,8.7,13.9,26.8,2360
20110423,10.7,6.3,15.8,0,null
20110424,10.4,5,16,0.4,null
20110425,12.9,6.3,18.8,0.3,2304
20110426,12.4,9.8,15.3,11.9,2225
20110427,12.1,8.2,16.8,2.4,2243
20110428,10.2,5.9,15.4,0.7,2117
20110429,13.3,4.1,19.9,0.6,1978
20110430,17,13.3,21.3,37.3,null
20110501,15.1,11.2,18.7,2.3,null
20110502,15.3,9.5,21.9,0,1889
20110503,16,10.8,22.5,0,1769
20110504,14.4,7.4,21.3,0,1735
20110505,15.1,8.5,21.8,0,null
20110506,14.9,9.5,19.3,1.1,1650
20110507,17.9,13.7,24.2,1.2,null
20110508,18.4,12.3,25.5,0,null
20110509,19.7,14.1,24.6,5.7,1594
20110510,18.5,15.2,22.6,41.3,null
20110511,15.8,14,18.1,46.4,1611
20110512,15.1,11.6,19.3,2.9,1593
20110513,16.2,10,22.2,0,1585
20110514,17.6,11.1,24.3,0,null
20110515,17.7,9.3,25.6,0,null
20110516,16.6,11.2,22.5,0,1590
20110517,16.2,8.6,23.5,0,1349
20110518,18.9,10.4,26.1,0,1313
20110519,20.4,15,25.8,0.1,1217
20110520,20.2,16.4,24.5,3.3,1220
20110521,17.5,14.3,22.1,4.4,null
20110522,16.9,13,22.1,1.8,null
20110523,15.7,12,20.4,3.5,1282
20110524,18,9.8,26.1,0,1272
20110525,18.8,13.2,24.8,0,1263
20110526,16.3,14.3,19,6.2,1150
20110527,16.7,14,20.1,0.7,1142
20110528,18.6,13.5,24.9,0,null
20110529,19.5,13.9,26.1,0,null
20110530,19,13.6,25.2,0,1192
20110531,17.2,15.3,20,2,1196
20110601,17.6,14.5,22.2,11.6,1169
20110602,18.5,14.7,24.3,0,1212
20110603,19.6,14.2,26.1,0,1212
20110604,20.8,16.5,26,0.1,null
20110605,21.5,16.1,28.3,0,null
20110606,21.3,14.6,27.8,0,null
20110607,21.5,15.1,28.3,0,1250
20110608,22.1,15.7,28.8,0.4,1236
20110609,21.2,17.3,25.6,0.3,1227
20110610,21.2,17.7,25.1,2.8,1222
20110611,22.9,17,29.6,1.4,null
